id,name,_authorship,status,per_usages,type_specimens,properties
367738,Acmella brachyglossa,Cass.,accepted,"[{""pro_parte"": false, ""show_page"": ""258"", ""reference_id"": 6492, ""is_from_published_ref"": true}, {""figure"": null, ""pro_parte"": false, ""show_page"": ""73"", ""reference_id"": 6493, ""is_from_published_ref"": false}]",[],"{""note"": ""Acmella brachyglossa is a weedy species commonly found in Central America, northern South America, and the West Indies (Jansen 1985b). In a distribution map of his monograph, Jansen (1985b) also indicated the occurrence of this species in Thailand, however, without citing voucher specimens. In Taiwan (Figure 2), the first documented specimen was collected by Yen in 1992 (H.-F. Yen 6, HAST) from Tainan County. In The Illustrated Medicinal Plants of Taiwan, volume 5 (Chiu and Chang, 1998), a plant in a color photograph that clearly shows all the characters of Acmella brachyglossa was referred to as Spilanthes paniculata, while the authors suggested that this plant probably represented a new record in Taiwan. According to Chiu and Chang (1998), that plant grows in moist places and along ditches. Although the history of its introduction to Taiwan is not known, Acmella brachyglossa appears to have been cultivated and propagated for more than a decade by folk herbalists in Taiwan for its alleged medicinal properties, i.e. cure for scurvy, toothache, and throat and gum infections (pers. comm. Kuo-Hsuan Hsu, 2007). This species can be easily distinguished from congeners in Taiwan by its pale yellow or greenish capitula and relatively inconspicuous ray florets, purple tinged pales in the early flowering stage, and densely ciliate achenes without an evident cork-like margin.\nGiven its weedy behavior in other parts of the world, A. brachyglossa is likely to become widespread and rampant in Taiwan."", ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""naturalized"", ""is_endemic"": 0, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""短舌花金鈕扣"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""custom_fields"": [{""field_value"": ""The somatic chromosome number and chromosome morphology at mitotic metaphase of this species are reported here for the first time. The chromosome number 2n = 78 (Figure 3A) was observed for a plant collected in Taichung City (Chung 1714, HAST), which is concordant with a previous report of n = 39 for plants collected from Ecuador and Venezuela (Jansen, 1985a). The chromosome length at mitotic metaphase varies gradually from about 2.3 μm to about 1.0 μm. Some chromosomes appear to have centromeres at median and submedian positions, but some have centromere positions that are uncertain. Satellites were not observed."", ""field_name_en"": ""Chromosome cytology"", ""field_name_zh"": ""染色體細胞學""}], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""additional_fields"": [{""field_name"": ""description"", ""field_value"": ""Annual herbs. Plants 10-30 cm tall, stems decumbent to usually erect, occasionally rooting at nodes, green, red to dark purple, glabrous to moderately pilose. Petioles 5-37 mm long, sparely to moderately pilose, narrowly winged; leaf blades narrowly ovate to ovate, 1.8-10 × 0.8-6 cm, apex acute to usually acuminate, margins sinuate to coarsely dentate, base attenuate, glabrous to sparely pilose on both sides. Peduncles 4-12.8 cm long, sparely pilose. Capitula, solitary, conical, 6.3-13 mm high, 6.5-9.5 mm in diameter; involucral bracts 7-11, biseriate, outer series 3-5, narrowly to broadly ovate, 3-5.2 × 0.9-3.2 mm, inner series 3-6, lanceolate to ovate, 3.4-4.6 × 1-2.5 mm; receptacle 5-11 mm high, 1-2 mm in diameter; palea stramineous, often purple-red tinge in early flowering stage, 3.5-4.5 × 0.5-0.9 mm; ray florets 5-8, bisexual, corollas pale yellow, 2-3.1 mm long, tubes 0.9-1.5 mm long, limbs 0.5-1.7 × 0.5-1.5 mm; disc florets 107-222, bisexual, pale yellow, corollas 4- or 5-merous, 1.5-2.1 mm long, tube 0.4-0.7 mm long, throat 1-1.5 mm long, lobe triangular, 0.2-0.4 × 0.2-0.3 mm. Achenes dark brown to black, 1.8-2.3 × 0.5-0.9 mm, surface strigose, margin densely ciliate with straight-tipped hairs but without evident cork-like margin; pappus of two subequal bristles, the longer bristle 0.5-1.1 mm long, the shorter 0.3-1 mm long.""}, {""field_name"": ""otherExaminedMaterial"", ""field_value"": ""Taichung City: Nantun District, 15 Mar 2007, K.-F. Chung 1714 (HAST), C.-M. Wang 9773 (TnM). nantou Co.: Mingjiang Township, Chieh- Yuan Herb garden, 29 Mar 2007, C.-I Huang et al. 3105 (HAST); Luku Township, Guanghsing elementary School, 29 Mar 2007, C.-I Huang et al. 3106 (HAST). Tainan Co.: Paiho Township, Tatungshan, 26 Oct 1992, H.-F. Yen 6 (HAST).""}, {""field_name"": ""distribution"", ""field_value"": ""Acmella brachyglossa is a weedy species commonly found in Central America, northern South America, and the West Indies (Jansen 1985b). In a distribution map of his monograph, Jansen (1985b) also indicated the occurrence of this species in Thailand, however, without citing voucher specimens. In Taiwan (Figure 2), the first documented specimen was collected by Yen in 1992 (H.-F. Yen 6, HAST) from Tainan County. In The Illustrated Medicinal Plants of Taiwan, volume 5 (Chiu and Chang, 1998), a plant in a color photograph that clearly shows all the characters of Acmella brachyglossa was referred to as Spilanthes paniculata, while the authors suggested that this plant probably represented a new record in Taiwan. According to Chiu and Chang (1998), that plant grows in moist places and along ditches. Although the history of its introduction to Taiwan is not known, Acmella brachyglossa appears to have been cultivated and propagated for more than a decade by folk herbalists in Taiwan for its alleged medicinal properties, i.e. cure for scurvy, toothache, and throat and gum infections (pers. comm. Kuo-Hsuan Hsu, 2007). This species can be easily distinguished from congeners in Taiwan by its pale yellow or greenish capitula and relatively inconspicuous ray florets, purple tinged pales in the early flowering stage, and densely ciliate achenes without an evident cork-like margin.\nGiven its weedy behavior in other parts of the world, A. brachyglossa is likely to become widespread and rampant in Taiwan.""}], ""alien_status_note"": null, ""distribution_in_tw"": null}"
367739,Acmella,Rich. ex Pers.,accepted,"[{""pro_parte"": false, ""show_page"": ""472"", ""reference_id"": 6494, ""is_from_published_ref"": true}, {""figure"": null, ""pro_parte"": false, ""show_page"": ""19"", ""reference_id"": 6493, ""is_from_published_ref"": false}]",[],"{""is_fossil"": null, ""is_marine"": null, ""alien_type"": null, ""is_endemic"": null, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""金鈕扣屬"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""custom_fields"": [], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""additional_fields"": [{""field_name"": ""distribution"", ""field_value"": ""Pantropical, about 30 species, mainly distributed in the tropics and subtropics. Many species have become naturalized and invasive. In Taiwan, one native species, one cultivated species, and three naturalized species are found.""}], ""alien_status_note"": null, ""distribution_in_tw"": null}"
367929,Acmella,,not-accepted,"[{""pro_parte"": false, ""show_page"": ""620"", ""reference_id"": 69, ""is_from_published_ref"": true}]",[],"{""indications"": [], ""is_in_taiwan"": null, ""custom_fields"": [], ""additional_fields"": []}"
367930,Acmella ciliata,"",accepted,"[{""pro_parte"": false, ""show_page"": ""331"", ""reference_id"": 6500, ""is_from_published_ref"": true}, {""figure"": null, ""pro_parte"": false, ""show_page"": ""36"", ""reference_id"": 6493, ""is_from_published_ref"": false}]",[],"{""note"": ""Acmella ciliata is native to northern South America and has naturalized in Celebes, India, Sumatra, and Thailand (Jansen, 1985b). In Taiwan (Figure 2), the earliest known documentation of this species (Chiu and Chang, 1998) erroneously referred to it as Spilanthes acmella and described it as a native species in the moist environments and hill ditches in the southern part of the island. Lin (2005) and Dai (2006) also misidentified A. ciliata as A. paniculata. Acmella ciliata is easily distinguishable from A. paniculata by its larger, broadly ovoid capitula, conspicuous ray florets (5-10), and shorter achenes (1.4-2.2 vs. 2.2-2.9 mm long) that lack ciliated margins at the mature stage. Although the exact origin of A. ciliata in Taiwan is not traceable, this species probably has been cultivated in Taiwan for more than a decade by folk herbalists for its medicinal properties (Chiu and Chang, 1998). Known herbarium records of this species indicate that Acmella ciliata is naturalized on damp, water-clogging, and disturbed areas in central and northern parts of Taiwan. In our recent field trips to southern China, we also found this species naturalized in the Guangxi Zhuangzu Autonomous Region (Chongzhuo, Peng et al. 20326, HAST; Hechi, Peng et al. 21060, HAST)."", ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""naturalized"", ""is_endemic"": null, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""天文草"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""custom_fields"": [{""field_value"": ""The somatic chromosome number and chromosome morphology at mitotic metaphase of this species are reported here for the first time. The chromosome number 2n = 78 (Figure 3B) was observed for plants collected from Taipei City (Huang & Chung 3100, HAST) and Nanjuang, Miaoli County (Peng et al. 21144, HAST). This chromosome number of 2n = 78 is concordant with the previously reported meiotic chromosome number of n = 39 for plants collected from ecuador, and Zamora (Jansen, 1985a). The chromosome length at mitotic metaphase varies gradually from about 2.1 μm to about 1.0 μm. Some chromosomes appear to have centromeres at median and submedian positions, but we were uncertain about the exact centromere positions of others. Satellites were not observed.\nInterestingly, a chromosome number 2n = 65 (pentaploid based on x = 13) was observed for a plant collected from Nanjuang, Miaoli County (Huang and Chung 3099, HAST). This plant, growing alongside many typical Acmella ciliata that had set abundant achenes, had slightly narrower leaves and produced no achene in either the field or the experimental greenhouse, signs of a possible hybrid origin. Although 2n = 65 has been reported for A. oppositifolia (Lam.) R.K. Jansen, a close relative of A. ciliata, a pentaploid with 2n = 65 has not been reported for A. ciliata (Jansen, 1985a). Further studies are needed to understand the origin of this unusual chromosome number."", ""field_name_en"": ""Chromosome cytology"", ""field_name_zh"": ""染色體細胞學""}], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""additional_fields"": [{""field_name"": ""description"", ""field_value"": ""Perennial herbs 30-80 cm tall. Stems usually decumbent to ascending, rooting at nodes, green to purple, glabrous to sparsely pilose. Petioles 0.7-4 cm long, narrowly winged, glabrous or sparsely pilose; leaf blades ovate to broadly ovate, 2.3-7.5 × 1-5.9 cm, apex acute, margins denticulate to coarsely dentate, base usually truncate or cordate, glabrous to sparsely pilose on both sides. Peduncles 1-7.4 cm long, sparsely to moderately pilose. Capitula radiate, solitary or 2 or 3, terminal or axillary, broadly ovoid, 6-10.5 mm high, 5.5-9.5 mm in diameter; involucral bracts 7-10, biseriate, outer series 3-5, narrowly to broadly ovate or elliptic, 4-6.9 × 1-2.3 mm, inner series 3-6, lanceolate to ovate or elliptic, 2.8-6.1 × 1-2.9 mm; receptacles 3.8-7.4 mm high, 0.8-1.9 mm in diameter; palea stramineous, 3-4.5 × 0.4-0.8 mm; ray florets 5-10, bisexual, corollas yellow orange, 2.5-6.5 mm long, tubes 0.9-2 mm long, limb 1.2-4.7 mm long, 1.1-3 mm wide; disc florets 90-177, bisexual, yellow-orange, corollas 5-merous, 1.5-2 mm long, tube 0.3-0.6 mm long, throat 1-1.5 mm long, lobes triangular, 0.2-0.4 × 0.2-0.3 mm. Achenes black, 1.4-2.2 × 0.5-1 mm, long, without shoulders, margins sparely to moderately ciliate, with evident cork-like margins, pappus usually absent or sometimes of 2 very short subequal bristles less than 1 mm long.""}, {""field_name"": ""otherExaminedMaterial"", ""field_value"": ""Taipei City: Zhongshan District, Dajia Riverside Park, 3 Apr 2006, M.-J. Jung 040301 (TAIF), 040302 (TnM), 28 Mar 2007, C.-I Huang & K.-F. Chung 3100 (HAST). Miaoli Co.: Dahu Township, Kungching Bridge, 30 Nov 2002, C.-H. Yu 440 (HAST); nanjuang Township, nanjuang, 23 Mar 2007, C. M. Wang & C. Y. Li 9840 (TnM), 28 Mar 2007, C.-I Huang & K.-F. Chung 3099 (HAST), 13 Jun 2007, C.-I. Peng, K.-F. Chung, and Y. Kono 21144 (HAST).""}, {""field_name"": ""distribution"", ""field_value"": ""Acmella ciliata is native to northern South America and has naturalized in Celebes, India, Sumatra, and Thailand (Jansen, 1985b). In Taiwan (Figure 2), the earliest known documentation of this species (Chiu and Chang, 1998) erroneously referred to it as Spilanthes acmella and described it as a native species in the moist environments and hill ditches in the southern part of the island. Lin (2005) and Dai (2006) also misidentified A. ciliata as A. paniculata. Acmella ciliata is easily distinguishable from A. paniculata by its larger, broadly ovoid capitula, conspicuous ray florets (5-10), and shorter achenes (1.4-2.2 vs. 2.2-2.9 mm long) that lack ciliated margins at the mature stage. Although the exact origin of A. ciliata in Taiwan is not traceable, this species probably has been cultivated in Taiwan for more than a decade by folk herbalists for its medicinal properties (Chiu and Chang, 1998). Known herbarium records of this species indicate that Acmella ciliata is naturalized on damp, water-clogging, and disturbed areas in central and northern parts of Taiwan. In our recent field trips to southern China, we also found this species naturalized in the Guangxi Zhuangzu Autonomous Region (Chongzhuo, Peng et al. 20326, HAST; Hechi, Peng et al. 21060, HAST).""}], ""alien_status_note"": null, ""distribution_in_tw"": null}"
369787,Acmella oleracea,"",accepted,"[{""pro_parte"": false, ""show_page"": ""65"", ""reference_id"": 6493, ""is_from_published_ref"": true}, {""figure"": ""pl. 375, photo 406 (left)"", ""pro_parte"": false, ""show_page"": ""813"", ""reference_id"": 1040, ""is_from_published_ref"": false}, {""figure"": ""fig. 237, photo 405 (left)"", ""pro_parte"": false, ""show_page"": ""220"", ""reference_id"": 6514, ""is_from_published_ref"": false}, {""figure"": ""pl. 460, fig. 2003"", ""pro_parte"": false, ""show_page"": ""33"", ""reference_id"": 6511, ""is_from_published_ref"": false}]",[],"{""note"": ""This plant is known mainly from cultivation in Taiwan and occasionally escapes into the field in other parts of the world (Jansen, 1985b; Hind and Biggs, 2003). Acmella oleracea is characterized by its large and cylindric discoid capitula, a feature that is unique for the genus. For centuries, this highly ornamental plant has been admired for its medicinal value and widely cultivated around the world. Based on a cladistic analysis of morphological characters, Jansen (1985b) suggested that A. oleracea was mostly likely derived through cultivation from Acmella alba (L’Hér.) R. K. Jansen in central Peru. In Taiwan, Acmella oleracea is commonly cultivated for its horticultural and medicinal properties, especially for relieving toothache (Lee, 1994; Chung, 1997; Chiu and Chang, 1998)."", ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""naturalized"", ""is_endemic"": 0, ""indications"": [], ""is_brackish"": null, ""common_names"": [], ""is_in_taiwan"": 1, ""custom_fields"": [{""field_value"": ""The somatic chromosome number of 2n = 52 and chromosome morphology at mitotic metaphase are reported here (Figure 3C) from plants cultivated in the experimental greenhouse, Academia Sinica. Our observation differs considerably from two previous reports from India (Mathew and Mathew, 1988: 2n = 78; Jose and Mathew, 1995: n = 30 and 2n = 60). The chromosome length at mitotic metaphase varies gradually from about 2.6 μm to about 1.2 μm. Some chromosomes appear to have centromeres at median and submedian positions, but other centromere positions are uncertain. Satellites were observed at the distal regions of short arms of two submedian centromeric chromosomes (see arrows in Figure 3C)."", ""field_name_en"": ""Chromosome Cytology"", ""field_name_zh"": ""染色體細胞學""}], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""additional_fields"": [{""field_name"": ""description"", ""field_value"": ""Annual herbs up to 90 cm tall. Stems usually decumbent to ascending, green to red, glabrous. Petioles 2-6.5 cm long, narrowly winged, glabrous or very sparsely pilose; leaf blades broadly ovate to deltate, 5-10.5 × 4-8 cm, apex short acuminate to acute, margins dentate, base truncate to short attenuate, glabrous on both sides. Peduncles 3.5-12.5 cm long, sparsely to very sparsely pilose. Capitula discoid, solitary, terminal, cylindrical, 10.5-23.5 mm high, 11-17 mm in diameter; involucral bracts 15-18, triseriate, margins entire to sinuate, outer series 5-6, narrowly ovate to lanceolate or sometimes ovate, 5.8-7.3 × 2.1-2.8 mm, middle series 5-6, lanceolate, 5.8-7.3 × 2.1-2.8 mm, inner series 5-6, lanceolate, 5.5-6.5 × 1.3-2 mm; receptacles 8.3-21.5 mm high, 3.5-0.5 mm in diameter, occasionally 2 per capitulum, apex acute; palea stramineous, often with a purple-red tinged when young, 5.3-6.2 × 1-1.2 mm; disc florets numerous, bisexual, yellow, corollas 5-merous, 2.7-3.3 mm long, tube 0.5-0.7 mm long, throat 2.2-2.6 mm long, lobes 0.3-0.6 × 0.2-0.4 mm. Achenes black, 2-2.5 × 0.9-1.1 mm, without evident cork-like margins and shoulders, margins moderately ciliate with straight-tipped hairs, pappus 2, inconspicuous, 0.3-1.5 1 mm long.""}, {""field_name"": ""otherExaminedMaterial"", ""field_value"": ""Taipei City: Taan District, 23 Oct 1963, M.-T. Kao & C.-C. Chuang 5494 (TAI), nTu campus, 15 Jun 1962, M. T. Kao s.n. (TAI); neihu District, 8 Aug 1943, Y. Simada 6145B (TAI); Nangang, cultivated, 26 May 1987, C.-I Peng 10869 (HAST). Yilan Co.: Jhuangwei Township (cultivated), 9 Apr 2002, C.-C. Lin 498 (TAIF). Hsinchu Co.: Hsinfeng Township, Hsinfeng to Tamei Village, cultivated, C.-I Peng 6389 (HAST). Taichung Co.: Tanzih Township, Dongbao Village, cultivated, 2 Jul. 2007. C.-M. Wang 10333 (TnM). nantou Co.: Puli Township, Tapingting Farm, 17 Jul 1968, C.-C. Hsu 4626 (TAI).""}, {""field_name"": ""distribution"", ""field_value"": ""This plant is known mainly from cultivation in Taiwan and occasionally escapes into the field in other parts of the world (Jansen, 1985b; Hind and Biggs, 2003). Acmella oleracea is characterized by its large and cylindric discoid capitula, a feature that is unique for the genus. For centuries, this highly ornamental plant has been admired for its medicinal value and widely cultivated around the world. Based on a cladistic analysis of morphological characters, Jansen (1985b) suggested that A. oleracea was mostly likely derived through cultivation from Acmella alba (L’Hér.) R. K. Jansen in central Peru. In Taiwan, Acmella oleracea is commonly cultivated for its horticultural and medicinal properties, especially for relieving toothache (Lee, 1994; Chung, 1997; Chiu and Chang, 1998).""}], ""alien_status_note"": null, ""distribution_in_tw"": null}"
369788,Spilanthes ciliata,,not-accepted,"[{""pro_parte"": false, ""show_page"": ""163"", ""reference_id"": 6499, ""is_from_published_ref"": true}]",[],"{""indications"": [], ""is_in_taiwan"": null, ""custom_fields"": [], ""additional_fields"": []}"
369806,Spilanthes oleracea,,not-accepted,"[{""pro_parte"": false, ""show_page"": ""534"", ""reference_id"": 221, ""is_from_published_ref"": true}, {""figure"": null, ""pro_parte"": false, ""show_page"": ""141"", ""reference_id"": 6509, ""name_in_reference"": ""Siplanthes oleracea Clarke"", ""is_from_published_ref"": false}]",[],"{""indications"": [], ""is_in_taiwan"": null, ""custom_fields"": [], ""additional_fields"": []}"
369807,Spilanthes acmella var. oleracea,,not-accepted,"[{""pro_parte"": false, ""show_page"": ""307"", ""reference_id"": 6512, ""is_from_published_ref"": true}]",[],"{""indications"": [], ""is_in_taiwan"": null, ""custom_fields"": [], ""additional_fields"": []}"
369808,Spilanthes acmella,,misapplied,"[{""figure"": ""pl. 1256"", ""pro_parte"": true, ""show_page"": ""945"", ""reference_id"": 1264, ""is_from_published_ref"": false}]",[],"{""indications"": [""auct. non""], ""is_in_taiwan"": null, ""custom_fields"": [], ""additional_fields"": []}"
369809,Acmella paniculata,"",accepted,"[{""pro_parte"": false, ""show_page"": ""67"", ""reference_id"": 6493, ""is_from_published_ref"": true}, {""figure"": ""pl. 376, photo 406 (right)"", ""pro_parte"": false, ""show_page"": ""814"", ""reference_id"": 1040, ""is_from_published_ref"": false}, {""figure"": ""fig. 237, photo 405 (right)"", ""pro_parte"": false, ""show_page"": ""220"", ""reference_id"": 6514, ""is_from_published_ref"": false}]",[],"{""note"": ""Acmella paniculata is distributed in India, Sri Lanka, Indochina, Malaysia, the Philippines, southern China, and Taiwan, occurring in moist and weedy habitats from sea level to up to 2,500 m (Jansen, 1985b). Although early collections suggest that A. paniculata was once widespread in Taiwan (Figure 2), more recent records stem mostly from the southeastern part of the island, especially Lanyu Island, Taitung County. However, Acmella paniculata has been incorrectly treated as an alien and naturalized plant of tropical American origin (e.g., Liu and Ou, 1981; Wu et al., 2004; Wu and Huang, 2005), an error that probably resulted from Li’s confusion of this species with A. oleracea (Li, 1978). Acmella paniculata can be easily recognized by its discoid capitula (without ray florets; see the color photographs in Peng et al., 1998, and Peng and Chung, 1999) and ciliated achenes with evident cork-like margin. In central Taiwan, it was found to have been cultivated for decades by a local farmer as a means of curing toothache and a substitute for A. oleracea (pers. obser., K.-F. Chung, in 2007)."", ""is_fossil"": null, ""is_marine"": null, ""alien_type"": null, ""is_endemic"": null, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""金鈕扣"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""custom_fields"": [{""field_value"": ""The somatic chromosome number and chromosome morphology at mitotic metaphase of this species are reported here for the first time. The chromosome number 2n = 52 (Figure 3D) was observed for a plant collected in Taichung City (Chung 1715, HAST). This number is concordant with the meiotic count of n = 26 for a plant collected in Lanyu Island, Taitung County (Peng 5278, HAST), in a report prepared by Ching-I Peng and published in Jansen (1985a). The chromosome length at mitotic metaphase varies gradually from about 2.3 μm to about 1.2 μm. Some chromosomes appear to have centromeres at median and submedian positions, but other centromere positions are uncertain. Satellites were not observed."", ""field_name_en"": ""Chormosome cytology"", ""field_name_zh"": ""染色體細胞學""}], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": null, ""additional_fields"": [{""field_name"": ""description"", ""field_value"": ""Annual herbs up to 30 cm tall. Stems branched, erect or ascending, green to purple, glabrous to sparsely pilose. Petioles 0.4-4 cm long, narrowly winged, sparsely to moderately pilose; leaf blades narrowly ovate to ovate, 1.8-6.3 × 0.7-4 cm, apex acute to acuminate, margins dentate to coarsely dentate, sparsely ciliate, base attenuate, glabrous to sparsely strigose or pilose on both sides. Peduncles 2.2-16 cm long, sparsely pilose. Capitula discoid, solitary, terminal, conical, 8.4-12.5 mm high, 6.9-10 mm in diameter; involucral bracts 9-12, biseriate, margins sinuate to irregularly dentate, sparsely to moderately ciliate, outer series 4-5, narrowly to broadly ovate, 3-5.5 × 1.6-3.1 mm, inner series 4-7, lanceolate to ovate, 3-5.5 × 1.2-2.6 mm; receptacles 5-8 mm high, 1.1-3 mm in diameter, apex acuminate; palea stramineous, 3.3-5.1 × 0.6-1 mm; disc florets ca. 100-200, bisexual, yellow, corollas 4 or 5-merous, 1.4-2.2 mm long, tube 0.3-0.6 mm long, throat 1-1.6 mm long, lobes 0.3-0.4 × 0.2-0.4 mm. Achenes dark brown, 2.2-2.9 × 0.8-1 mm, cork-like margins evident, without shoulders, margins moderately ciliate with straight-tipped hairs, surfaces sparsely to densely tuberculate, pappus of 2 subequal bristles, longer bristle 0.5-1.1 long, shorter bristle 0.4-0.9 mm long.""}, {""field_name"": ""otherExaminedMaterial"", ""field_value"": ""Wulai Township, 16 Oct 1932, S. Sasaki s.n. (TAI). Ilan Co.: nanhutashan, 6 Nov 1972, M.-T. Kao 6415 (TAI). Taichung City: Nantun District, 15 Mar 2007, K.-F. Chung 1715 (HAST), C.-M. Wang 9775 (TnM). nantou Co.: Yuchi Township, Sun Moon Lake, Lalu, 21 Sep 1929, Y. Kudo & S. Suzuki 15582 (TAI), Lienhuachi, 30 Dec 1925, S. Sasaki s.n. (TAI). Chiayi Co.: Alishan Township, 9 Oct 1906, T. Kawakami & U. Mori 1771 (TI). Kaohsiung Co.: Alian Township, Takangshan, 10 Mar 1987, M.-T. Kao 10466 (TAI), 14 Nov 1937, A. Moriya 2372 (TAI, TI); Chishan Township, Oct 1905, G. Nakahara 584 (TI), Nov 1907, T. Kawakami & U. Mori 5549 (TAI), 10 Nov 1907, S. Sasaki s.n. (TAI); Liouguei Township, 19 Jul 1938, S. Okamoto s.n. (KYO), 12 Dec 1937, S. Okamoto s.n. (KYO). Pingtung Co.: 5 Dec 1915, E. Matuda 1867 (TAI); Wanluan Township, Bankinsing, A. Henry 812 (MO), U. Faurie 944 (KYO); Hengchuen Township, Kenting National Park, Oluanpi, A. Henry 219 (MO), Kueitsuchi, 30 Dec 1928, Y. Kudo & S. Suzuki 15901 (TAI), 1 Feb 1985, S.-Y. Lu 15230 (TAIF). Hualien Co.: Fengbin Township, 27 Mar 1930, Y. Yamamoto 1317 (TAI); Juisui Township, Chimei, 27 Dec 1930, Y. Yamamoto 2539 (TAI). Taitung Co.: 1 Aug 1931, Y. Yamamoto 2589 (TAI); Luyeh Township, 9 Dec 1899, K. Miyake s.n. (TI); Lanyu, 19 Sep 1974, M.-T. Kao 8728 (TAI), Wananchao-Yehyin, 27 Aug 1968, C.-C. Hsu 4895 (TAI), between Hongtou Village and Yuzen Village, 9 Jun 1983, C.-I Peng 5278 (HAST), Hungtou Village, 28 Apr 1983, T. C. Huang, Yang, Kao, Chen, & Tang 9327B (TAI), Yujen Village, 7 May 1984, C.-I Peng 6588 (HAST), 14 Apr 1985, C.-I Peng 7656 (HAST), en route from Hongtou Village to Tienchih, 6 Apr 1987, C.-I Peng & Y.-K. Chen 10771 (HAST), Yehyin, 4 Aug 1968, Namba et al. s.n. (TI), Hungtou village to Yehyin Village, 7 Apr 1987, H.-F. Yen 853 (HAST), Langtao Village, 27 May 1996, T.-Y. Yang et al. 6588 (HAST).""}, {""field_name"": ""distribution"", ""field_value"": ""Acmella paniculata is distributed in India, Sri Lanka, Indochina, Malaysia, the Philippines, southern China, and Taiwan, occurring in moist and weedy habitats from sea level to up to 2,500 m (Jansen, 1985b). Although early collections suggest that A. paniculata was once widespread in Taiwan (Figure 2), more recent records stem mostly from the southeastern part of the island, especially Lanyu Island, Taitung County. However, Acmella paniculata has been incorrectly treated as an alien and naturalized plant of tropical American origin (e.g., Liu and Ou, 1981; Wu et al., 2004; Wu and Huang, 2005), an error that probably resulted from Li’s confusion of this species with A. oleracea (Li, 1978). Acmella paniculata can be easily recognized by its discoid capitula (without ray florets; see the color photographs in Peng et al., 1998, and Peng and Chung, 1999) and ciliated achenes with evident cork-like margin. In central Taiwan, it was found to have been cultivated for decades by a local farmer as a means of curing toothache and a substitute for A. oleracea (pers. obser., K.-F. Chung, in 2007).""}], ""alien_status_note"": null, ""distribution_in_tw"": null}"
