id,name,_authorship,status,per_usages,type_specimens,properties
202829,Clematis formosana,Kuntze,accepted,[],[],"{""note"": null, ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""native"", ""is_endemic"": 1, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""寶島鐵線蓮"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""custom_fields"": [], ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""additional_fields"": [], ""alien_status_note"": null, ""distribution_in_tw"": null}"
202830,Clematis sasakii,,not-accepted,[],[],"{""indications"": [], ""is_in_taiwan"": null}"
202831,Clematis parviloba,"",accepted,[],[],"{""indications"": [], ""is_in_taiwan"": 1}"
202832,Clematis parviloba subsp. bartlettii,"",accepted,[],[],"{""note"": null, ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""native"", ""is_endemic"": 1, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""巴氏鐵線蓮"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""alien_status_note"": null, ""distribution_in_tw"": null}"
202833,Clematis parviloba subsp. shengzhenii,,accepted,[],[],"{""note"": null, ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""native"", ""is_endemic"": 1, ""indications"": [""ssp. nov.""], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""勝任鐵線蓮"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""alien_status_note"": null, ""distribution_in_tw"": null}"
202834,Clematis matsudai,,not-accepted,[],[],"{""indications"": []}"
202835,­Clematis bartlettii,,not-accepted,[],[],"{""indications"": []}"
202836,Clematis parviloba var. bartlettii,,not-accepted,[],[],"{""indications"": []}"
202837,Clematis pengii,,accepted,[],[],"{""note"": null, ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""native"", ""is_endemic"": 1, ""indications"": [""sp. nov.""], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""彭氏鐵線蓮"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""alien_status_note"": null, ""distribution_in_tw"": null}"
202838,Clematis tamurae,T.Y.A.Yang & T.C.Huang,accepted,[],[],"{""note"": null, ""is_fossil"": null, ""is_marine"": null, ""alien_type"": ""native"", ""is_endemic"": 1, ""indications"": [], ""is_brackish"": null, ""common_names"": [{""area"": null, ""name"": ""田村氏鐵線蓮"", ""language"": ""zh-tw""}], ""is_in_taiwan"": 1, ""is_freshwater"": null, ""is_new_record"": null, ""is_terrestrial"": 1, ""alien_status_note"": null, ""distribution_in_tw"": null}"
202839,Clematis austro–taiwanensis,,not-accepted,[],[],"{""indications"": [], ""is_in_taiwan"": null}"
